platform,op_name,dtype,shape_config,ic_latency_ms,ic_tflops,pt_latency_ms,pt_tflops,date,tester,remarks
ascend,add,fp32,"M=16,N=5632",0.020143,NA,0.010594,NA,2026/04/30,baoming,
ascend,add,fp16,"M=16,N=5632",0.019813,NA,0.010622,NA,2026/04/30,baoming,
ascend,add,bf16,"M=16,N=5632",0.020082,NA,0.010738,NA,2026/04/30,baoming,
ascend,add,fp32,"bs=4,seq=4,hidden=5632",0.020493,NA,0.010674,NA,2026/04/30,baoming,
ascend,add,fp16,"bs=4,seq=4,hidden=5632",0.020438,NA,0.010607,NA,2026/04/30,baoming,
ascend,add,bf16,"bs=4,seq=4,hidden=5632",0.020103,NA,0.010752,NA,2026/04/30,baoming,
ascend,add,fp32,"M=16,N=4096",0.020317,NA,0.010637,NA,2026/04/30,baoming,
ascend,add,fp16,"M=16,N=4096",0.020076,NA,0.010677,NA,2026/04/30,baoming,
ascend,add,bf16,"M=16,N=4096",0.019797,NA,0.010604,NA,2026/04/30,baoming,
ascend,cast,fp16,"bs=16,hidden=5632,fp16->fp32",0.015751,NA,0.042433,NA,2026/04/30,baoming,
ascend,cast,fp32,"bs=16,hidden=5632,fp32->fp16",0.015609,NA,0.042591,NA,2026/04/30,baoming,
ascend,cast,fp32,"bs=16,hidden=5632,fp32->bf16",0.015492,NA,0.042662,NA,2026/04/30,baoming,
ascend,cat,fp32,"2x(4,64),dim=0",0.020879,NA,0.044789,NA,2026/04/30,baoming,
ascend,cat,fp16,"2x(4,64),dim=0",0.020631,NA,0.044248,NA,2026/04/30,baoming,
ascend,cat,bf16,"2x(4,64),dim=0",0.020278,NA,0.044411,NA,2026/04/30,baoming,
ascend,cat,fp32,"(4,32)+(4,64),dim=1",0.020582,NA,0.044269,NA,2026/04/30,baoming,
ascend,cat,fp16,"(4,32)+(4,64),dim=1",0.020308,NA,0.044446,NA,2026/04/30,baoming,
ascend,cat,bf16,"(4,32)+(4,64),dim=1",0.020331,NA,0.044463,NA,2026/04/30,baoming,
ascend,cat,fp32,"4x(1,1024),dim=1",0.029818,NA,0.045154,NA,2026/04/30,baoming,
ascend,cat,fp16,"4x(1,1024),dim=1",0.029523,NA,0.045078,NA,2026/04/30,baoming,
ascend,cat,bf16,"4x(1,1024),dim=1",0.029674,NA,0.046211,NA,2026/04/30,baoming,
ascend,gemm,fp32,"M=1,N=2048,K=2048",0.02305,0.1,0.019564,0.1,2026/04/30,baoming,
ascend,gemm,fp16,"M=1,N=2048,K=2048",0.022962,0.1,0.012916,0.1,2026/04/30,baoming,
ascend,gemm,bf16,"M=1,N=2048,K=2048",0.022306,0.1,0.012943,0.1,2026/04/30,baoming,
ascend,gemm,fp32,"M=6,N=2560,K=2048",0.022549,0.7,0.019589,1.0,2026/04/30,baoming,
ascend,gemm,fp16,"M=6,N=2560,K=2048",0.022619,0.7,0.013052,1.0,2026/04/30,baoming,
ascend,gemm,bf16,"M=6,N=2560,K=2048",0.022635,0.7,0.012873,1.0,2026/04/30,baoming,
ascend,gemm,fp32,"bs=4,M=48,N=6,K=64",0.025228,0.0,0.014741,0.0,2026/04/30,baoming,
ascend,gemm,fp16,"bs=4,M=48,N=6,K=64",0.027776,0.0,0.011733,0.0,2026/04/30,baoming,
ascend,gemm,bf16,"bs=4,M=48,N=6,K=64",0.028154,0.0,0.011487,0.0,2026/04/30,baoming,
ascend,linear,fp32,"M=4,K=64,N=32",0.025708,NA,0.088799,NA,2026/04/30,baoming,
ascend,linear,fp16,"M=4,K=64,N=32",0.025249,NA,0.142709,NA,2026/04/30,baoming,
ascend,linear,bf16,"M=4,K=64,N=32",0.027908,NA,0.143725,NA,2026/04/30,baoming,
ascend,linear,fp32,"M=1,K=4096,N=4096",0.056449,NA,0.089664,NA,2026/04/30,baoming,
ascend,linear,fp16,"M=1,K=4096,N=4096",0.026193,NA,0.349535,NA,2026/04/30,baoming,
ascend,linear,bf16,"M=1,K=4096,N=4096",0.027529,NA,0.34877,NA,2026/04/30,baoming,
ascend,linear,fp32,"bs=4,M=8,K=128,N=64",0.073665,NA,0.090359,NA,2026/04/30,baoming,
ascend,linear,fp16,"bs=4,M=8,K=128,N=64",0.073199,NA,0.144602,NA,2026/04/30,baoming,
ascend,linear,bf16,"bs=4,M=8,K=128,N=64",0.070734,NA,0.137466,NA,2026/04/30,baoming,
ascend,matmul,fp32,"M=4,K=64,N=32",0.020581,NA,0.048252,NA,2026/04/30,baoming,
ascend,matmul,fp16,"M=4,K=64,N=32",0.020429,NA,0.083963,NA,2026/04/30,baoming,
ascend,matmul,bf16,"M=4,K=64,N=32",0.020579,NA,0.084223,NA,2026/04/30,baoming,
ascend,matmul,fp32,"M=2,K=128,N=256",0.020582,NA,0.048543,NA,2026/04/30,baoming,
ascend,matmul,fp16,"M=2,K=128,N=256",0.020816,NA,0.083821,NA,2026/04/30,baoming,
ascend,matmul,bf16,"M=2,K=128,N=256",0.021628,NA,0.084331,NA,2026/04/30,baoming,
ascend,matmul,fp32,"bs=4,M=8,K=128,N=64",0.021014,NA,0.051063,NA,2026/04/30,baoming,
ascend,matmul,fp16,"bs=4,M=8,K=128,N=64",0.020892,NA,0.08676,NA,2026/04/30,baoming,
ascend,matmul,bf16,"bs=4,M=8,K=128,N=64",0.020875,NA,0.087777,NA,2026/04/30,baoming,
ascend,mul,fp32,"M=16,N=5632",0.020653,NA,0.00855,NA,2026/04/30,baoming,
ascend,mul,fp16,"M=16,N=5632",0.020579,NA,0.008521,NA,2026/04/30,baoming,
ascend,mul,bf16,"M=16,N=5632",0.020414,NA,0.00854,NA,2026/04/30,baoming,
ascend,mul,fp32,"bs=4,seq=4,hidden=5632",0.020695,NA,0.008566,NA,2026/04/30,baoming,
ascend,mul,fp16,"bs=4,seq=4,hidden=5632",0.020905,NA,0.008736,NA,2026/04/30,baoming,
ascend,mul,bf16,"bs=4,seq=4,hidden=5632",0.020744,NA,0.008648,NA,2026/04/30,baoming,
ascend,mul,fp32,"M=16,N=4096",0.020643,NA,0.008617,NA,2026/04/30,baoming,
ascend,mul,fp16,"M=16,N=4096",0.020471,NA,0.008805,NA,2026/04/30,baoming,
ascend,mul,bf16,"M=16,N=4096",0.020515,NA,0.00853,NA,2026/04/30,baoming,
